timestamp,x,y,z,frame,pitch,roll,yaw,attitude_source,velocity,attitude_valid
1628249877.999503,0.000000,0.000000,0.000000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249878.999503,-0.028644,-0.022174,-0.003000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249879.999503,-0.028644,0.033261,-0.044000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249880.999503,-0.076383,0.133044,-0.062000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249881.999503,-0.190957,0.133044,0.017000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249882.999503,-0.305532,0.044348,0.052000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249883.999502,-0.181410,0.133044,0.172000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249884.999502,0.143218,0.277176,0.142000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249885.999502,0.467846,0.321524,0.012000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249886.999502,0.821117,0.299350,0.064000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249887.999502,1.384441,0.166306,0.085000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249888.999502,1.976409,-0.099783,0.269000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249889.999502,2.377419,-0.410220,0.263000,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249890.999502,2.826169,-0.753918,0.175999,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249891.999501,3.294015,-1.164138,0.034999,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249892.999501,3.780956,-1.651968,-0.024001,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249893.999501,4.248802,-2.184146,-0.109002,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249894.999501,4.678457,-2.838281,-0.131002,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249895.999501,5.241781,-3.470242,-0.010003,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249896.999501,5.948324,-3.991332,0.155996,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249897.999501,6.673963,-4.423726,0.309995,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249898.999501,7.428245,-4.700902,0.301994,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249899.999501,8.087048,-4.955903,0.161993,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249900.999500,8.640825,-5.188730,0.024992,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249901.999500,9.347368,-5.543515,0.103991,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249902.999500,10.292608,-6.075692,-0.025011,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249903.999500,11.276039,-6.674391,-0.137013,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249904.999500,12.297662,-7.250915,-0.343016,enu,0.000000,0.000000,0.000000,0,0.000000,0
1628249906.000500,10.436300,-11.951105,-0.484721,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249907.000500,11.627714,-13.158838,-0.292725,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249908.000499,13.048523,-14.371829,-0.271731,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249909.000499,14.449030,-15.554821,-0.302736,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249910.000499,15.893600,-16.787276,-0.365743,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249911.000499,17.277250,-18.174771,-0.160750,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249912.000499,18.577080,-19.756466,-0.145758,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249913.000499,20.051025,-21.021896,-0.240767,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249914.000499,21.433814,-22.350765,-0.319776,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249915.000499,22.736678,-23.770094,-0.303785,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249916.000499,23.877532,-25.346299,-0.453796,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249917.000499,24.975184,-26.931665,-0.587806,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249918.000498,26.158379,-28.440082,-0.584817,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249919.000498,27.675527,-29.696349,-0.730829,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249920.000498,29.508049,-30.787717,-0.744843,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249921.000498,31.239044,-31.974127,-0.923857,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249922.000498,32.623558,-33.420244,-1.056871,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249923.000498,33.534169,-34.687528,-1.192883,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249924.000498,34.208483,-35.725585,-1.256892,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249925.000498,34.922530,-37.010053,-1.306903,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249926.000497,35.836587,-38.511839,-1.301917,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249927.000497,36.926044,-39.907817,-1.273932,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249928.000497,38.114891,-40.694631,-1.476943,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249929.000497,39.191002,-41.059391,-1.772952,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249930.000497,40.389391,-41.020865,-1.954959,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249931.000497,41.620658,-40.024634,-1.975961,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249932.000497,42.046215,-39.370801,-2.045960,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249933.000497,42.158110,-39.244155,-2.196960,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249934.000496,42.211680,-39.203389,-2.238960,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249935.000496,42.102806,-39.412707,-2.122960,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249936.000496,42.009478,-39.697136,-2.244962,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249937.000496,42.004712,-39.987287,-2.328963,map,0.000000,0.000000,0.000000,0,0.000000,0
1628249938.000496,42.016367,-40.166140,-2.482965,map,0.000000,0.000000,0.000000,0,0.000000,0
