timestamp,x,y,z,qx,qy,qz,qw,pos_std_x,pos_std_y,pos_std_z,gps_x,gps_y,gps_z,gps_frame,gps_valid
1628249877.536528,-0.000015,-0.000147,0.000016,0.000043,0.000034,0.000059,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249877.624028,0.002006,-0.008419,0.001015,0.000287,0.000019,-0.000238,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249877.736568,0.008126,-0.012156,0.000841,0.000360,0.000016,-0.000092,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249877.836588,0.003903,-0.007768,0.000360,0.000235,0.000012,-0.000356,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249877.936546,0.008212,-0.007460,-0.000427,0.000280,-0.000025,-0.000249,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.036532,0.005208,-0.007803,0.000144,0.000278,0.000015,-0.000183,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.136528,0.007608,-0.008767,-0.000104,0.000318,0.000015,-0.000261,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.236586,0.005648,-0.007933,0.000151,0.000291,-0.000016,-0.000063,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.336650,0.005025,-0.008744,0.000095,0.000295,-0.000002,-0.000238,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.449031,0.005377,-0.008262,0.000428,0.000295,0.000033,-0.000214,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.536533,0.006496,-0.009027,0.000269,0.000305,0.000003,-0.000110,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.649040,0.005997,-0.008341,0.000279,0.000293,0.000001,-0.000172,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.736519,0.006486,-0.007484,0.000273,0.000298,-0.000002,-0.000139,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.849038,0.007186,-0.008284,0.000113,0.000298,0.000000,-0.000247,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
1628249878.936568,0.006074,-0.008884,-0.000033,0.000298,0.000006,-0.000207,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,none,0
